[2026-03-08 04:22:00] Waiting for activation_steering_controls.py to finish...
[2026-03-08 04:23:02] Waiting for activation_steering_controls.py to finish...
[2026-03-08 04:24:03] Waiting for activation_steering_controls.py to finish...
[2026-03-08 04:25:06] Waiting for activation_steering_controls.py to finish...
[2026-03-08 04:26:06] Waiting for activation_steering_controls.py to finish...
[2026-03-08 04:27:07] Waiting for activation_steering_controls.py to finish...
[2026-03-08 04:28:08] Waiting for activation_steering_controls.py to finish...
[2026-03-08 04:29:09] Waiting for activation_steering_controls.py to finish...
[2026-03-08 04:30:10] Waiting for activation_steering_controls.py to finish...
[2026-03-08 04:31:10] Waiting for activation_steering_controls.py to finish...
[2026-03-08 04:32:11] Waiting for activation_steering_controls.py to finish...
[2026-03-08 04:33:12] Waiting for activation_steering_controls.py to finish...
[2026-03-08 04:34:12] Waiting for activation_steering_controls.py to finish...
[2026-03-08 04:35:13] Waiting for activation_steering_controls.py to finish...
[2026-03-08 04:36:16] Waiting for activation_steering_controls.py to finish...
[2026-03-08 04:37:17] Waiting for activation_steering_controls.py to finish...
[2026-03-08 04:38:18] Waiting for activation_steering_controls.py to finish...
[2026-03-08 04:39:19] Waiting for activation_steering_controls.py to finish...
[2026-03-08 04:40:20] Waiting for activation_steering_controls.py to finish...
[2026-03-08 04:41:20] Waiting for activation_steering_controls.py to finish...
[2026-03-08 04:42:24] Waiting for activation_steering_controls.py to finish...
[2026-03-08 04:43:27] Waiting for activation_steering_controls.py to finish...
[2026-03-08 04:44:29] Waiting for activation_steering_controls.py to finish...
[2026-03-08 04:45:32] Waiting for activation_steering_controls.py to finish...
[2026-03-08 04:46:36] Waiting for activation_steering_controls.py to finish...
[2026-03-08 04:47:38] Waiting for activation_steering_controls.py to finish...
[2026-03-08 04:48:41] Waiting for activation_steering_controls.py to finish...
[2026-03-08 04:49:42] Waiting for activation_steering_controls.py to finish...
[2026-03-08 04:50:44] Waiting for activation_steering_controls.py to finish...
[2026-03-08 04:51:47] Waiting for activation_steering_controls.py to finish...
[2026-03-08 04:52:51] Waiting for activation_steering_controls.py to finish...
[2026-03-08 04:53:54] Waiting for activation_steering_controls.py to finish...
[2026-03-08 04:54:54] Waiting for activation_steering_controls.py to finish...
[2026-03-08 04:55:57] Waiting for activation_steering_controls.py to finish...
[2026-03-08 04:56:59] Waiting for activation_steering_controls.py to finish...
[2026-03-08 04:57:59] Waiting for activation_steering_controls.py to finish...
[2026-03-08 04:58:59] Waiting for activation_steering_controls.py to finish...
[2026-03-08 05:00:02] Waiting for activation_steering_controls.py to finish...
[2026-03-08 05:01:04] Waiting for activation_steering_controls.py to finish...
[2026-03-08 05:02:04] Waiting for activation_steering_controls.py to finish...
[2026-03-08 05:03:05] Waiting for activation_steering_controls.py to finish...
[2026-03-08 05:04:05] Waiting for activation_steering_controls.py to finish...
[2026-03-08 05:05:05] Waiting for activation_steering_controls.py to finish...
[2026-03-08 05:06:07] Waiting for activation_steering_controls.py to finish...
[2026-03-08 05:07:07] Waiting for activation_steering_controls.py to finish...
[2026-03-08 05:08:10] Waiting for activation_steering_controls.py to finish...
[2026-03-08 05:09:13] Waiting for activation_steering_controls.py to finish...
[2026-03-08 05:10:15] Waiting for activation_steering_controls.py to finish...
[2026-03-08 05:11:17] Waiting for activation_steering_controls.py to finish...
[2026-03-08 05:12:21] Waiting for activation_steering_controls.py to finish...
[2026-03-08 05:13:25] Waiting for activation_steering_controls.py to finish...
[2026-03-08 05:14:25] Waiting for activation_steering_controls.py to finish...
[2026-03-08 05:15:28] Waiting for activation_steering_controls.py to finish...
[2026-03-08 05:16:28] Waiting for activation_steering_controls.py to finish...
[2026-03-08 05:17:30] Waiting for activation_steering_controls.py to finish...
[2026-03-08 05:18:35] Waiting for activation_steering_controls.py to finish...
[2026-03-08 05:19:38] Waiting for activation_steering_controls.py to finish...
[2026-03-08 05:20:40] Waiting for activation_steering_controls.py to finish...
[2026-03-08 05:21:42] Waiting for activation_steering_controls.py to finish...
